Metric,Model 1,Model 2,Normality p-value,Test,Statistic,p-value,Significant
ROC-AUC,Baseline AE,Handcrafted AE,0.8323531028387232,Paired t-test,-35.56595254522359,5.432053875085613e-11,True
ROC-AUC,Baseline AE,Normalizing Flow,0.4906414253250015,Paired t-test,-34.317825847188715,7.47595585626274e-11,True
ROC-AUC,Handcrafted AE,Normalizing Flow,0.7471642574403814,Paired t-test,-4.443274233842237,0.0016158267101913295,True
pAUC,Baseline AE,Handcrafted AE,0.06781935724999173,Paired t-test,-10.299996269097873,2.7963176563843348e-06,True
pAUC,Baseline AE,Normalizing Flow,0.7255845971988003,Paired t-test,-15.147905207524222,1.0359187635476599e-07,True
pAUC,Handcrafted AE,Normalizing Flow,0.9385835527419807,Paired t-test,-8.466019669421446,1.4041760075110972e-05,True
